"active","birthDate","birthLocation","club","districtName","districtNum","educationLevel","email","firstLastName","firstName","id","lastFirstName","lastName","numberOfVotes","profession","secondName","voivodeship","inactiveCause","waiverDesc"
TRUE,"1976-01-11","Bolesławiec","KO","Legnica",1,"wyższe","Piotr.Borys@sejm.pl","Piotr Borys","Piotr",29,"Borys Piotr","Borys",44912,"prawnik",NA,"dolnośląskie",NA,NA
TRUE,"1954-03-11","Lędziny","PiS","Katowice",29,"wyższe","Bozena.Borys-Szopa@sejm.pl","Bożena Borys-Szopa","Bożena",30,"Borys-Szopa Bożena","Borys-Szopa",30445,"prawnik","Teresa","śląskie",NA,NA
TRUE,"1970-11-05","Poznań","KO","Poznań",39,"wyższe","Marcin.Bosacki@sejm.pl","Marcin Bosacki","Marcin",31,"Bosacki Marcin","Bosacki",24197,NA,"Rafał","wielkopolskie",NA,NA
TRUE,"1988-07-08","Szczecin","Konfederacja","Warszawa",20,"wyższe","Karina.Bosak@sejm.pl","Karina Anna Bosak","Karina",32,"Bosak Karina Anna","Bosak",21217,"adwokat","Anna","mazowieckie",NA,NA
TRUE,"1982-06-13","Zielona Góra","Konfederacja","Białystok",24,"średnie ogólne","Krzysztof.Bosak@sejm.pl","Krzysztof Bosak","Krzysztof",33,"Bosak Krzysztof","Bosak",44902,"parlamentarzysta",NA,"podlaskie",NA,NA
TRUE,"1967-03-11","Toruń","Konfederacja","Rzeszów",23,"wyższe","Grzegorz.Braun@sejm.pl","Grzegorz Braun","Grzegorz",34,"Braun Grzegorz","Braun",26895,"publicysta, reżyser","Michał","podkarpackie",NA,NA
FALSE,"1983-05-16","Bydgoszcz","KO","Bydgoszcz",4,"wyższe","Krzysztof.Brejza@sejm.pl","Krzysztof Brejza","Krzysztof",35,"Brejza Krzysztof","Brejza",89840,"prawnik",NA,"kujawsko-pomorskie","Zrzeczenie","Objął mandat posła do Parlamentu Europejskiego"
TRUE,"1986-09-22","Tczew","Polska2050-TD","Gdańsk",25,"wyższe","Agnieszka.Buczynska@sejm.pl","Agnieszka Buczyńska","Agnieszka",36,"Buczyńska Agnieszka","Buczyńska",35213,"politolog, socjolog","MARIA","pomorskie",NA,NA
TRUE,"1982-09-21","Turek","PiS","Łódź",9,"wyższe","Waldemar.Buda@sejm.pl","Waldemar Buda","Waldemar",37,"Buda Waldemar","Buda",45474,"radca prawny","Grzegorz","łódzkie",NA,NA
TRUE,"1978-03-11","Czeladź","KO","Katowice",31,"wyższe","Borys.Budka@sejm.pl","Borys Budka","Borys",38,"Budka Borys","Budka",101258,"nauczyciel akademicki, radca prawny","Piotr","śląskie",NA,NA
TRUE,"1964-10-17","Mielec","Polska2050-TD","Rzeszów",23,"wyższe","Elzbieta.Burkiewicz@sejm.pl","Elżbieta Burkiewicz","Elżbieta",39,"Burkiewicz Elżbieta","Burkiewicz",11582,"przedsiębiorca prywatny","Jolanta","podkarpackie",NA,NA
TRUE,"1964-08-27","Rzeki Wielkie","PiS","Częstochowa",28,"wyższe","Lidia.Burzynska@sejm.pl","Lidia Burzyńska","Lidia",40,"Burzyńska Lidia","Burzyńska",49713,"nauczyciel","Ewa","śląskie",NA,NA
TRUE,"1962-05-06","Dzierżoniów","KO","Wałbrzych",2,"wyższe","Marek.Chmielewski@sejm.pl","Marek Jan Chmielewski","Marek",41,"Chmielewski Marek Jan","Chmielewski",9108,"technolog żywności","Jan","dolnośląskie",NA,NA
TRUE,"1954-09-22","Kolbuszowa","PiS","Rzeszów",23,"wyższe","Zbigniew.Chmielowiec@sejm.pl","Zbigniew Chmielowiec","Zbigniew",42,"Chmielowiec Zbigniew","Chmielowiec",18574,"inżynier inżynierii środowiska","Michał","podkarpackie",NA,NA
TRUE,"1974-04-19","Elbląg","PiS","Olsztyn",35,"wyższe","Artur.Chojecki@sejm.pl","Artur Chojecki","Artur",43,"Chojecki Artur","Chojecki",17418,"urzędnik państwowy","Henryk","warmińsko-mazurskie",NA,NA
TRUE,"1957-12-16","Kraśnik","PiS","Lublin",6,"wyższe","Kazimierz.Choma@sejm.pl","Kazimierz Bogusław Choma","Kazimierz",44,"Choma Kazimierz Bogusław","Choma",8363,"zarządzanie zasobami ludzkimi","Bogusław","lubelskie",NA,NA
TRUE,"1978-12-29","Elbląg","PiS","Warszawa",20,"wyższe","Dominika.Chorosinska@sejm.pl","Dominika Chorosińska","Dominika",45,"Chorosińska Dominika","Chorosińska",9582,"aktorka","Małgorzata","mazowieckie",NA,NA
TRUE,"1963-09-14","Grodzisko Dolne","PiS","Krosno",22,"wyższe","Tadeusz.Chrzan@sejm.pl","Tadeusz Chrzan","Tadeusz",46,"Chrzan Tadeusz","Chrzan",12184,"geodeta",NA,"podkarpackie",NA,NA
TRUE,"1951-05-10","Wałbrzych","KO","Wrocław",3,"wyższe","Alicja.Chybicka@sejm.pl","Alicja Chybicka","Alicja",47,"Chybicka Alicja","Chybicka",78816,"lekarz","Paulina","dolnośląskie",NA,NA
TRUE,"1962-02-07","Ciechanów","PiS","Płock",16,"wyższe","Anna.Cicholska@sejm.pl","Anna Ewa Cicholska","Anna",48,"Cicholska Anna Ewa","Cicholska",19074,"nauczyciel","Ewa","mazowieckie",NA,NA
TRUE,"1957-01-07","Bytom","KO","Olsztyn",35,"wyższe","Janusz.Cichon@sejm.pl","Janusz Cichoń","Janusz",49,"Cichoń Janusz","Cichoń",32356,"emeryt, nauczyciel akademicki","Władysław","warmińsko-mazurskie",NA,NA
TRUE,"1989-06-27","Radomsko","PiS","Piotrków Trybunalski",10,"wyższe","Krzysztof.Cieciora@sejm.pl","Krzysztof Ciecióra","Krzysztof",50,"Ciecióra Krzysztof","Ciecióra",10426,NA,"Jan","łódzkie",NA,NA
TRUE,"1988-05-06","Wrocław","PiS","Olsztyn",35,"wyższe","Janusz.Cieszynski@sejm.pl","Janusz Cieszyński","Janusz",51,"Cieszyński Janusz","Cieszyński",20644,"menedżer","Antoni","warmińsko-mazurskie",NA,NA
TRUE,"1974-12-09","Dąbrowa Tarnowska","PiS","Kielce",33,"wyższe","Michal.Cieslak@sejm.pl","Michał Cieślak","Michał",52,"Cieślak Michał","Cieślak",5629,"ekonomista",NA,"świętokrzyskie",NA,NA
TRUE,"1978-12-10","Ostrołęka","Polska2050-TD","Siedlce",18,"wyższe","Zaneta.Cwalina-Sliwowska@sejm.pl","Żaneta Cwalina-Śliwowska","Żaneta",53,"Cwalina-Śliwowska Żaneta","Cwalina-Śliwowska",9747,"pedagog, trener",NA,"mazowieckie",NA,NA
TRUE,"1957-10-25","Trzcianka","PiS","Piła",38,"średnie zawodowe","Krzysztof.Czarnecki@sejm.pl","Krzysztof Czarnecki","Krzysztof",54,"Czarnecki Krzysztof","Czarnecki",37420,"technik budowlano-drogowy","Władysław","wielkopolskie",NA,NA
TRUE,"1953-04-12","Murowana Goślina","PiS","Konin",37,"wyższe","Witold.Czarnecki@sejm.pl","Witold Wojciech Czarnecki","Witold",55,"Czarnecki Witold Wojciech","Czarnecki",17601,"nauczyciel akademicki","Wojciech","wielkopolskie",NA,NA
TRUE,"1977-06-11","Koło","PiS","Lublin",6,"wyższe","Przemyslaw.Czarnek@sejm.pl","Przemysław Czarnek","Przemysław",56,"Czarnek Przemysław","Czarnek",121686,"prawnik",NA,"lubelskie",NA,NA
TRUE,"1966-04-14","Ostrołęka","PiS","Siedlce",18,"wyższe","Arkadiusz.Czartoryski@sejm.pl","Arkadiusz Czartoryski","Arkadiusz",57,"Czartoryski Arkadiusz","Czartoryski",15845,"urzędnik samorządowy",NA,"mazowieckie",NA,NA
TRUE,"1960-05-03","Warszawa","Lewica","Katowice",32,"wyższe","Wlodzimierz.Czarzasty@sejm.pl","Włodzimierz Czarzasty","Włodzimierz",58,"Czarzasty Włodzimierz","Czarzasty",22332,"politolog",NA,"śląskie",NA,NA
TRUE,"1964-08-30","Świdnik","Lewica","Lublin",6,"wyższe","Jacek.Czerniak@sejm.pl","Jacek Czerniak","Jacek",59,"Czerniak Jacek","Czerniak",10910,"politolog","Andrzej","lubelskie",NA,NA
TRUE,"1950-09-30","Wola Obszańska","KO","Legnica",1,"wyższe","Zofia.Czernow@sejm.pl","Zofia Czernow","Zofia",60,"Czernow Zofia","Czernow",30258,"ekonomista",NA,"dolnośląskie",NA,NA
TRUE,"1970-01-13","Warszawa","PiS","Warszawa",20,"wyższe","Anita.Czerwinska@sejm.pl","Anita Czerwińska","Anita",61,"Czerwińska Anita","Czerwińska",18443,"prawnik",NA,"mazowieckie",NA,NA
TRUE,"1969-11-03","Biała","PiS","Opole",21,"wyższe","Katarzyna.Czochara@sejm.pl","Katarzyna Czochara","Katarzyna",62,"Czochara Katarzyna","Czochara",20004,"nauczyciel","Beata","opolskie",NA,NA
TRUE,"1972-01-21","Zamość","Polska2050-TD","Chełm",7,"wyższe","Slawomir.Cwik@sejm.pl","Sławomir Ćwik","Sławomir",63,"Ćwik Sławomir","Ćwik",8004,"menedżer, prawnik, przedsiębiorca prywatny",NA,"lubelskie",NA,NA
TRUE,"1959-07-10","Międzyrzec","PiS","Zielona Góra",8,"wyższe","Wladyslaw.Dajczak@sejm.pl","Władysław Dajczak","Władysław",64,"Dajczak Władysław","Dajczak",29131,"inżynier mechanik",NA,"lubuskie",NA,NA
TRUE,"1961-04-14","Chełm","PiS","Chełm",7,"wyższe","Anna.Dabrowska-Banaszek@sejm.pl","Anna Dąbrowska-Banaszek","Anna",65,"Dąbrowska-Banaszek Anna","Dąbrowska-Banaszek",13910,"lekarz",NA,"lubelskie",NA,NA
TRUE,"1965-12-01","Koźmin","PiS","Konin",37,"wyższe","Zbigniew.Dolata@sejm.pl","Zbigniew Dolata","Zbigniew",66,"Dolata Zbigniew","Dolata",25663,"nauczyciel",NA,"wielkopolskie",NA,NA
TRUE,"1960-09-12","Bytom","KO","Katowice",32,"wyższe","Barbara.Dolniak@sejm.pl","Barbara Dolniak","Barbara",67,"Dolniak Barbara","Dolniak",37470,"prawnik",NA,"śląskie",NA,NA
TRUE,"1981-08-27","Kraków","KO","Warszawa",19,"wyższe","Andrzej.Domanski@sejm.pl","Andrzej Domański","Andrzej",68,"Domański Andrzej","Domański",6848,"doradca ds. ekonomicznych, ekonomista","Jan","mazowieckie",NA,NA
TRUE,"1979-08-16","Włoszczowa","PiS","Kielce",33,"wyższe","Bartlomiej.Dorywalski@sejm.pl","Bartłomiej Dorywalski","Bartłomiej",69,"Dorywalski Bartłomiej","Dorywalski",9696,"radca prawny",NA,"świętokrzyskie",NA,NA
TRUE,"1967-07-14","Lubsko","KO","Zielona Góra",8,"wyższe","Robert.Dowhan@sejm.pl","Robert Dowhan","Robert",70,"Dowhan Robert","Dowhan",14761,NA,NA,"lubuskie",NA,NA
TRUE,"1979-10-02","Bielsko-Biała","PiS","Bielsko-Biała",27,"wyższe","Przemyslaw.Drabek@sejm.pl","Przemysław Drabek","Przemysław",71,"Drabek Przemysław","Drabek",17886,"menedżer","Mieczysław","śląskie",NA,NA
TRUE,"1962-11-20","Skała","PiS","Kraków",13,"średnie policealne/pomaturalne","Elzbieta.Duda@sejm.pl","Elżbieta Duda","Elżbieta",72,"Duda Elżbieta","Duda",11388,"parlamentarzysta",NA,"małopolskie",NA,NA
TRUE,"1975-07-22","Warszawa","PiS","Wałbrzych",2,"wyższe","Michal.Dworczyk@sejm.pl","Michał Paweł Dworczyk","Michał",73,"Dworczyk Michał Paweł","Dworczyk",40264,"historyk, polityk","Paweł","dolnośląskie",NA,NA
TRUE,"1969-09-26","Rzeszów","PSL-TD","Rzeszów",23,"wyższe","Adam.Dziedzic@sejm.pl","Adam Dziedzic","Adam",74,"Dziedzic Adam","Dziedzic",24304,"inżynier mechanik",NA,"podkarpackie",NA,NA
TRUE,"1981-08-03","Warszawa","PiS","Kalisz",36,"wyższe","Jan.Dziedziczak@sejm.pl","Jan Michał Dziedziczak","Jan",75,"Dziedziczak Jan Michał","Dziedziczak",14689,"urzędnik państwowy","Michał","wielkopolskie",NA,NA
TRUE,"1984-01-20","Wrocław","Lewica","Słupsk",26,"wyższe","Agnieszka.Dziemianowicz-Bak@sejm.pl","Agnieszka Dziemianowicz-Bąk","Agnieszka",76,"Dziemianowicz-Bąk Agnieszka","Dziemianowicz-Bąk",30631,"filozof, pedagog","Ewa","pomorskie",NA,NA
TRUE,"1978-12-08","Barlinek","KO","Szczecin",41,"wyższe","Magdalena.Filiks@sejm.pl","Magdalena Filiks","Magdalena",77,"Filiks Magdalena","Filiks",40772,"ekonomista",NA,"zachodniopomorskie",NA,NA
TRUE,"1983-09-07","Lublin","PiS","Lublin",6,"wyższe","Magdalena.Filipek-Sobczak@sejm.pl","Magdalena Filipek-Sobczak","Magdalena",78,"Filipek-Sobczak Magdalena","Filipek-Sobczak",10480,"prawnik",NA,"lubelskie",NA,NA
TRUE,"1982-02-16","Radom","PiS","Radom",17,"średnie ogólne","Radoslaw.Fogiel@sejm.pl","Radosław Fogiel","Radosław",79,"Fogiel Radosław","Fogiel",32791,"parlamentarzysta","Aleksander","mazowieckie",NA,NA
TRUE,"1974-08-12","Bielsko-Biała","Konfederacja","Bielsko-Biała",27,"wyższe","Bronislaw.Foltyn@sejm.pl","Bronisław Foltyn","Bronisław",80,"Foltyn Bronisław","Foltyn",18134,"przedsiębiorca prywatny","Edward","śląskie",NA,NA
TRUE,"1966-01-03","Mikołów","Konfederacja","Bielsko-Biała",30,"wyższe","Roman.Fritz@sejm.pl","Roman Fritz","Roman",81,"Fritz Roman","Fritz",11089,"przedsiębiorca prywatny","Henryk","śląskie",NA,NA
TRUE,"1978-01-13","Krosno","KO","Krosno",22,"wyższe","Joanna.Frydrych@sejm.pl","Joanna Frydrych","Joanna",82,"Frydrych Joanna","Frydrych",29681,"ekonomista, pracownik administracji państwowej","Zofia","podkarpackie",NA,NA
TRUE,"1986-02-15","Radom","KO","Radom",17,"wyższe","Konrad.Frysztak@sejm.pl","Konrad Frysztak","Konrad",83,"Frysztak Konrad","Frysztak",25416,"dziennikarz, prawnik",NA,"mazowieckie",NA,NA
TRUE,"1977-03-29","Gdańsk","KO","Gdańsk",25,"wyższe","Patryk.Gabriel@sejm.pl","Patryk Gabriel","Patryk",84,"Gabriel Patryk","Gabriel",11201,"urzędnik samorządowy",NA,"pomorskie",NA,NA
TRUE,"1962-08-14","Bochnia","KO","Bielsko-Biała",30,"wyższe","Krzysztof.Gadowski@sejm.pl","Krzysztof Gadowski","Krzysztof",85,"Gadowski Krzysztof","Gadowski",36031,"inżynier transportu","Jan","śląskie",NA,NA
TRUE,"1989-08-22","Warszawa","KO","Warszawa",19,"wyższe","Aleksandra.Gajewska@sejm.pl","Aleksandra Gajewska","Aleksandra",86,"Gajewska Aleksandra","Gajewska",49428,"przedsiębiorca prywatny","Małgorzata","mazowieckie",NA,NA
TRUE,"1990-07-22","Warszawa","KO","Warszawa",20,"wyższe","Kinga.Gajewska@sejm.pl","Kinga Gajewska","Kinga",87,"Gajewska Kinga","Gajewska",85283,"politolog, prawnik","Magdalena","mazowieckie",NA,NA
TRUE,"1960-10-03","Płock","KO","Płock",16,"wyższe","Elzbieta.Gapinska@sejm.pl","Elżbieta Gapińska","Elżbieta",88,"Gapińska Elżbieta","Gapińska",13214,"pedagog","Teresa","mazowieckie",NA,NA
TRUE,"1983-05-08","Warszawa","KO","Siedlce",18,"wyższe","Kamila.Gasiuk-Pihowicz@sejm.pl","Kamila Gasiuk-Pihowicz","Kamila",89,"Gasiuk-Pihowicz Kamila","Gasiuk-Pihowicz",57609,"adwokat, prawnik",NA,"mazowieckie",NA,NA
TRUE,"1980-04-11","Warszawa","Lewica","Bydgoszcz",4,"wyższe","Krzysztof.Gawkowski@sejm.pl","Krzysztof Gawkowski","Krzysztof",90,"Gawkowski Krzysztof","Gawkowski",21831,"nauczyciel akademicki","Kamil","kujawsko-pomorskie",NA,NA
TRUE,"1960-09-12","Dębica","KO","Rzeszów",23,"wyższe","Zdzislaw.Gawlik@sejm.pl","Zdzisław Gawlik","Zdzisław",91,"Gawlik Zdzisław","Gawlik",7054,"nauczyciel akademicki",NA,"podkarpackie",NA,NA
TRUE,"1965-01-06","Kochcice","PiS","Częstochowa",28,"wyższe","Andrzej.Gawron@sejm.pl","Andrzej Gawron","Andrzej",92,"Gawron Andrzej","Gawron",13239,"parlamentarzysta","Janusz","śląskie",NA,NA
TRUE,"1972-03-23","Pszczyna","PiS","Bielsko-Biała",27,"wyższe","Grzegorz.Gaza@sejm.pl","Grzegorz Gaża","Grzegorz",93,"Gaża Grzegorz","Gaża",11940,"parlamentarzysta, przedsiębiorca prywatny","Krzysztof","śląskie",NA,NA
TRUE,"1955-04-22","Gdańsk","KO","Elbląg",34,"wyższe","Elzbieta.Gelert@sejm.pl","Elżbieta Gelert","Elżbieta",94,"Gelert Elżbieta","Gelert",15847,"menedżer","Kazimiera","warmińsko-mazurskie",NA,NA
TRUE,"1991-11-07","Włocławek","PiS","Toruń",5,"wyższe","Anna.Gembicka@sejm.pl","Anna Gembicka","Anna",95,"Gembicka Anna","Gembicka",25993,"prawnik, wyższy urzędnik państwowy","Urszula","kujawsko-pomorskie",NA,NA
TRUE,"1979-04-21","Kielce","KO","Kielce",33,"wyższe","Artur.Gierada@sejm.pl","Artur Daniel Gierada","Artur",96,"Gierada Artur Daniel","Gierada",16878,"politolog","Daniel","świętokrzyskie",NA,NA
TRUE,"1971-02-27","Śrem","KO","Kielce",33,"wyższe","Roman.Giertych@sejm.pl","Roman Giertych","Roman",97,"Giertych Roman","Giertych",23622,"adwokat","Jacek","świętokrzyskie",NA,NA
TRUE,"1952-10-19","Działdowo","KO","Bydgoszcz",4,"wyższe","Wlodzislaw.Gizinski@sejm.pl","Włodzisław Giziński","Włodzisław",98,"Giziński Włodzisław","Giziński",13630,NA,NA,"kujawsko-pomorskie",NA,NA
TRUE,"1956-03-08","Częstochowa","PiS","Częstochowa",28,"wyższe","Szymon.Gizynski@sejm.pl","Szymon Giżyński","Szymon",99,"Giżyński Szymon","Giżyński",14148,"urzędnik państwowy","Stanisław","śląskie",NA,NA
TRUE,"1954-04-20","Warszawa","PiS","Warszawa",19,"wyższe","Piotr.Glinski@sejm.pl","Piotr Gliński","Piotr",100,"Gliński Piotr","Gliński",135339,"pracownik naukowo-dydaktyczny","Tadeusz","mazowieckie",NA,NA
TRUE,"1974-12-30","Tarnowskie Góry","KO","Katowice",29,"wyższe","Tomasz.Glogowski@sejm.pl","Tomasz Głogowski","Tomasz",101,"Głogowski Tomasz","Głogowski",11463,"nauczyciel akademicki","Marian","śląskie",NA,NA
TRUE,"1967-07-22","Bydgoszcz","KO","Piła",38,"wyższe","Piotr.Glowski@sejm.pl","Piotr Głowski","Piotr",102,"Głowski Piotr","Głowski",16067,"ekonomista","Krzysztof","wielkopolskie",NA,NA
TRUE,"1985-04-14","Gliwice","KO","Katowice",29,"wyższe","Marta.Golbik@sejm.pl","Marta Golbik","Marta",103,"Golbik Marta","Golbik",19430,"przedsiębiorca prywatny","Joanna","śląskie",NA,NA
TRUE,"1980-10-30","Szczecinek","PiS","Koszalin",40,"wyższe","Malgorzata.Golinska@sejm.pl","Małgorzata Golińska","Małgorzata",104,"Golińska Małgorzata","Golińska",15253,"leśnik","Joanna","zachodniopomorskie",NA,NA
TRUE,"1964-02-05","Łańcut","PiS","Rzeszów",23,"wyższe","Kazimierz.Golojuch@sejm.pl","Kazimierz Gołojuch","Kazimierz",105,"Gołojuch Kazimierz","Gołojuch",14216,"parlamentarzysta","Edward","podkarpackie",NA,NA
TRUE,"1999-01-20","Opole","niez.","Opole",21,"wyższe","Adam.Gomola@sejm.pl","Adam Gomoła","Adam",106,"Gomoła Adam","Gomoła",21923,"specjalista ds. rozwoju i promocji","Michał","opolskie",NA,NA
TRUE,"1993-07-02","Żuromin","PiS","Elbląg",34,"wyższe","Robert.Gontarz@sejm.pl","Robert Gontarz","Robert",107,"Gontarz Robert","Gontarz",24940,"ekonomista, matematyk, parlamentarzysta",NA,"warmińsko-mazurskie",NA,NA
TRUE,"1958-07-27","Miłomłyn","KO","Elbląg",34,"wyższe","Stanislaw.Gorczyca@sejm.pl","Stanisław Gorczyca","Stanisław",108,"Gorczyca Stanisław","Gorczyca",7979,"biolog","Andrzej","warmińsko-mazurskie",NA,NA
TRUE,"1982-08-20","Kielce","PiS","Kielce",33,"wyższe","Mariusz.Gosek@sejm.pl","Mariusz Gosek","Mariusz",109,"Gosek Mariusz","Gosek",5309,"pedagog","Marek","świętokrzyskie",NA,NA
